,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,Q,7885.05,23.67,0.1,3.9
2,332,0,1,Q,2894.02,23.67,0.28,3.72
3,333,0,1,Q,7987.24,23.67,0.1,3.9
4,1263,0,1,Q,10803.51,23.67,0.07,3.93
5,331,2,1,Q,8788.17,19.36,0.09,3.91
6,332,2,1,Q,5372.3,19.36,0.15,3.85
7,333,2,1,Q,9918.51,19.36,0.08,3.92
8,1263,2,1,Q,11559.63,19.36,0.07,3.93
9,331,12,1,Q,12862.08,20.61,0.06,3.94
10,332,12,1,Q,8148.04,20.61,0.1,3.9
11,333,12,1,Q,13806.85,20.61,0.06,3.94
12,1263,12,1,Q,6152.05,20.61,0.13,3.87
13,331,24,1,Q,6265.76,19.21,0.13,3.87
14,332,24,1,Q,5319.96,19.21,0.15,3.85
15,333,24,1,Q,6826.05,19.21,0.12,3.88
16,1263,24,1,Q,9092.42,19.21,0.09,3.91
17,331,36,1,Q,1990.17,18.19,0.41,3.59
18,332,36,1,Q,2555.12,18.19,0.32,3.68
19,333,36,1,Q,2194.51,18.19,0.37,3.63
20,1263,36,1,Q,4932.36,18.19,0.16,3.84
21,331,0,2,Q,7121.88,23.67,0.11,3.89
22,332,0,2,Q,3078.4,23.67,0.26,3.74
23,333,0,2,Q,7389.83,23.67,0.11,3.89
24,1263,0,2,Q,10981.16,23.67,0.07,3.93
25,331,2,2,Q,10059.74,19.36,0.08,3.92
26,332,2,2,Q,5316.68,19.36,0.15,3.85
27,333,2,2,Q,10672.63,19.36,0.08,3.92
28,1263,2,2,Q,9871.43,19.36,0.08,3.92
29,331,12,2,Q,13957.62,20.61,0.06,3.94
30,332,12,2,Q,8524.1,20.61,0.09,3.91
31,333,12,2,Q,15526.19,20.61,0.05,3.95
32,1263,12,2,Q,8558.71,20.61,0.09,3.91
33,331,24,2,Q,6051.87,19.21,0.13,3.87
34,332,24,2,Q,6819.8,19.21,0.12,3.88
35,333,24,2,Q,6680.35,19.21,0.12,3.88
36,1263,24,2,Q,7775.11,19.21,0.1,3.9
37,331,36,2,Q,3003.83,18.19,0.27,3.73
38,332,36,2,Q,2797.89,18.19,0.29,3.71
39,333,36,2,Q,2641.04,18.19,0.31,3.69
40,1263,36,2,Q,5928.7,18.19,0.14,3.86
41,331,0,3,Q,6646.19,23.67,0.12,3.88
42,332,0,3,Q,3228,23.67,0.25,3.75
43,333,0,3,Q,6680.69,23.67,0.12,3.88
44,1263,0,3,Q,9673.63,23.67,0.08,3.92
45,331,2,3,Q,9736.12,19.36,0.08,3.92
46,332,2,3,Q,4496.47,19.36,0.18,3.82
47,333,2,3,Q,10053.98,19.36,0.08,3.92
48,1263,2,3,Q,9175.57,19.36,0.09,3.91
49,331,12,3,Q,14624.69,20.61,0.05,3.95
50,332,12,3,Q,7796.4,20.61,0.1,3.9
51,333,12,3,Q,12199.14,20.61,0.07,3.93
52,1263,12,3,Q,7712.13,20.61,0.1,3.9
53,331,24,3,Q,6434.05,19.21,0.12,3.88
54,332,24,3,Q,5620.81,19.21,0.14,3.86
55,333,24,3,Q,6114.29,19.21,0.13,3.87
56,1263,24,3,Q,16895.53,19.21,0.05,3.95
57,331,36,3,Q,2648.25,18.19,0.3,3.7
58,332,36,3,Q,2427.43,18.19,0.33,3.67
59,333,36,3,Q,1963.16,18.19,0.41,3.59
60,1263,36,3,Q,4498.8,18.19,0.18,3.82
